,count,mean,std,min,25%,50%,75%,max,missing_pct,skewness
gwsa_lag8,726.0,-3.444378205968437,3.179937936113266,-11.034112207522329,-5.626386227102681,-3.5378680874471247,-0.8341342385695268,2.5046132906342797,3.2,-0.36000048982301663
gwsa_lag9,723.0,-3.4244770031280423,3.167621769982651,-11.029617263421544,-5.599869443897043,-3.5315771813321954,-0.8297546581873129,2.5046132906342797,3.5999999999999996,-0.3595211553843635
gwsa_lag10,720.0,-3.404061042026874,3.1546755261455077,-11.010375360108474,-5.585679377300859,-3.509742878635348,-0.8177386026468808,2.5046132906342797,4.0,-0.35878150986314533
gwsa_lag11,717.0,-3.384181981422697,3.1422416085297766,-10.92928672112745,-5.577307719381535,-3.5058867165129013,-0.7908661661059914,2.5046132906342797,4.3999999999999995,-0.3578767379772462
gwsa_lag12,714.0,-3.3658617732808986,3.1314302892202965,-10.790258035425524,-5.550650171309203,-3.4902487646306444,-0.7767492340800795,2.5046132906342797,4.8,-0.3570175097686772
precip_lag1,747.0,0.4913025200366974,0.6788787245750427,2.4932662199717015e-05,0.03740522265434265,0.17324459552764893,0.6867203116416931,3.652587652206421,0.4,1.8974671363830566
precip_lag2,744.0,0.4908425211906433,0.6788662075996399,2.4932662199717015e-05,0.0373460091650486,0.17257142066955566,0.6865707039833069,3.652587652206421,0.8,1.9026116132736206
precip_lag3,741.0,0.49037885665893555,0.6788532733917236,2.4932662199717015e-05,0.03722446411848068,0.1718982309103012,0.6864210963249207,3.652587652206421,1.2,1.9078011512756348
gwsa_roll3,750.0,-3.5238341894944254,3.2007172765181915,-11.024701610350782,-5.874506047253945,-3.74237195136617,-0.8797565888476152,2.3032539226498066,0.0,-0.3509216362179822
gwsa_roll6,750.0,-3.4831123050321704,3.172887993868033,-10.951230758945142,-5.943125685519795,-3.6946580487473035,-0.9066600963325462,2.1112039043079838,0.0,-0.3575921620150747
gwsa_roll12,750.0,-3.3859423162991757,3.139880664443195,-10.775554376961642,-5.54965917829567,-3.4710524939617025,-0.9864272665478823,2.1112039043079838,0.0,-0.3732479294063336
precip_roll3,750.0,0.4913541196195712,0.5696162795249994,0.003756521133861194,0.07506652948601793,0.23814016891022521,0.6863569226115942,2.781368056933085,0.0,1.4453106290764466
precip_roll12,750.0,0.48942098364175884,0.4628701519555981,0.018824679078534245,0.13786762019541735,0.246089788081008,0.9296718726400286,1.7582712471485138,0.0,0.882783732291249
zone_north,750.0,0.3333333333333333,0.47171910509083603,0.0,0.0,0.0,1.0,1.0,0.0,0.7085246184084951
zone_central,750.0,0.3333333333333333,0.47171910509083603,0.0,0.0,0.0,1.0,1.0,0.0,0.7085246184084951
zone_south,750.0,0.3333333333333333,0.47171910509083603,0.0,0.0,0.0,1.0,1.0,0.0,0.7085246184084951
